"cohort","model","task","run","trial_id","status","screenshot_path","screenshot_sha256","capture_error_path","result_json_path"
"self-hosted","pixtral-12b","timer_set_5min","1","144814","available","research/evaluation/model-trial-screenshots/self-hosted/144814__pixtral-12b__timer_set_5min__r1.png","cbd35c90be5c751f64d02c1db91dd4761d11827552c24b6a142c343cdf1f6bb9","","research/evaluation/results/144814__pixtral-12b__timer_set_5min__r1.json"
"self-hosted","qwen/qwen3-8b","bluetooth_toggle_on","0","133318","available","research/evaluation/model-trial-screenshots/self-hosted/133318__qwen_qwen3-8b__bluetooth_toggle_on__r0.png","43e4ad22b713cbcd59726707c3560c7990ef48016f0d4d1250676026e0de3248","","research/evaluation/results/133318__qwen_qwen3-8b__bluetooth_toggle_on__r0.json"
"self-hosted","qwen/qwen3-8b","bluetooth_toggle_on","1","133400","available","research/evaluation/model-trial-screenshots/self-hosted/133400__qwen_qwen3-8b__bluetooth_toggle_on__r1.png","0d49f33c293586c4932e6f99083e30506af5310b7626cc4aaddf716282bde71d","","research/evaluation/results/133400__qwen_qwen3-8b__bluetooth_toggle_on__r1.json"
"self-hosted","qwen/qwen3-8b","brightness_set_50","0","133446","available","research/evaluation/model-trial-screenshots/self-hosted/133446__qwen_qwen3-8b__brightness_set_50__r0.png","7415f7d191ffb2bd9da6fe237ff5373c199d0802c92d2052a74dc6fdf0c3ba0d","","research/evaluation/results/133446__qwen_qwen3-8b__brightness_set_50__r0.json"
"self-hosted","qwen/qwen3-8b","brightness_set_50","1","133552","available","research/evaluation/model-trial-screenshots/self-hosted/133552__qwen_qwen3-8b__brightness_set_50__r1.png","28195afa2d23c8f202280c8f2a59d20029625f7a84c782966233d0c01de336a8","","research/evaluation/results/133552__qwen_qwen3-8b__brightness_set_50__r1.json"
"self-hosted","qwen/qwen3-8b","dark_mode_off","0","133153","available","research/evaluation/model-trial-screenshots/self-hosted/133153__qwen_qwen3-8b__dark_mode_off__r0.png","524b34008bba9f32bdf20a5386a35351ca6cceabd35684d4bcbd70b693ddaaac","","research/evaluation/results/133153__qwen_qwen3-8b__dark_mode_off__r0.json"
"self-hosted","qwen/qwen3-8b","dark_mode_off","1","133224","available","research/evaluation/model-trial-screenshots/self-hosted/133224__qwen_qwen3-8b__dark_mode_off__r1.png","546a5141b2b7492c44fdcac0cac7530e1765771e3698f7dec9bd169d88012c4d","","research/evaluation/results/133224__qwen_qwen3-8b__dark_mode_off__r1.json"
"self-hosted","qwen/qwen3-8b","dark_mode_on","0","133057","available","research/evaluation/model-trial-screenshots/self-hosted/133057__qwen_qwen3-8b__dark_mode_on__r0.png","48b7b9be8006de5ac9a155ea3b1f6e54a7b13c2e5341fb721b3c6b358bedfd81","","research/evaluation/results/133057__qwen_qwen3-8b__dark_mode_on__r0.json"
"self-hosted","qwen/qwen3-8b","dark_mode_on","1","133117","available","research/evaluation/model-trial-screenshots/self-hosted/133117__qwen_qwen3-8b__dark_mode_on__r1.png","6181e8d8220e2ca56c4e96bc0fc570a108be4aa43ccca1336a1161f10c59c73d","","research/evaluation/results/133117__qwen_qwen3-8b__dark_mode_on__r1.json"
"self-hosted","qwen/qwen3-8b","pizza_search","0","133838","available","research/evaluation/model-trial-screenshots/self-hosted/133838__qwen_qwen3-8b__pizza_search__r0.png","6883a72ac5fff81836e42b800ebbd9785ccdec936c74c729b94c4e504edeb045","","research/evaluation/results/133838__qwen_qwen3-8b__pizza_search__r0.json"
"self-hosted","qwen/qwen3-8b","pizza_search","1","133906","available","research/evaluation/model-trial-screenshots/self-hosted/133906__qwen_qwen3-8b__pizza_search__r1.png","971255579ab2c58db382f91973464e33fc347f24bd0c03d98b60c3461ace235a","","research/evaluation/results/133906__qwen_qwen3-8b__pizza_search__r1.json"
"self-hosted","qwen/qwen3-8b","timer_set_5min","0","133641","available","research/evaluation/model-trial-screenshots/self-hosted/133641__qwen_qwen3-8b__timer_set_5min__r0.png","096b1a49e43fe30215bb80480e4edf45fb73aa6762322113aa45ea16a650d9a5","","research/evaluation/results/133641__qwen_qwen3-8b__timer_set_5min__r0.json"
"self-hosted","qwen/qwen3-8b","timer_set_5min","1","133742","available","research/evaluation/model-trial-screenshots/self-hosted/133742__qwen_qwen3-8b__timer_set_5min__r1.png","fc8081e4f7f33680b1fef4adf0075722265db6ceaa04c444d07791501caafa5a","","research/evaluation/results/133742__qwen_qwen3-8b__timer_set_5min__r1.json"
"self-hosted","qwen/qwen3-vl-8b","bluetooth_toggle_on","0","131148","available","research/evaluation/model-trial-screenshots/self-hosted/131148__qwen_qwen3-vl-8b__bluetooth_toggle_on__r0.png","883187838b5d25d407c72c417c8cbca9c11aac2d2214e2b479b2c65513554c23","","research/evaluation/results/131148__qwen_qwen3-vl-8b__bluetooth_toggle_on__r0.json"
"self-hosted","qwen/qwen3-vl-8b","bluetooth_toggle_on","1","131241","available","research/evaluation/model-trial-screenshots/self-hosted/131241__qwen_qwen3-vl-8b__bluetooth_toggle_on__r1.png","9c7468b817516678e962b051ec34f82101c9c9aee0e45ad5c2d426a83a77e148","","research/evaluation/results/131241__qwen_qwen3-vl-8b__bluetooth_toggle_on__r1.json"
"self-hosted","qwen/qwen3-vl-8b","brightness_set_50","0","131321","available","research/evaluation/model-trial-screenshots/self-hosted/131321__qwen_qwen3-vl-8b__brightness_set_50__r0.png","55f5efb1074c9270d706295d06b1376fdaa2ceb4e94d3fdf04e65357fc4e1912","","research/evaluation/results/131321__qwen_qwen3-vl-8b__brightness_set_50__r0.json"
"self-hosted","qwen/qwen3-vl-8b","brightness_set_50","1","131736","available","research/evaluation/model-trial-screenshots/self-hosted/131736__qwen_qwen3-vl-8b__brightness_set_50__r1.png","1edc84df74463bfffd28042c366609370494199e5f920e51b247ac52824988b6","","research/evaluation/results/131736__qwen_qwen3-vl-8b__brightness_set_50__r1.json"
"self-hosted","qwen/qwen3-vl-8b","dark_mode_off","0","130620","capture_failed","","","research/evaluation/model-trial-screenshots/capture-errors/130620__qwen_qwen3-vl-8b__dark_mode_off__r0.capture-error.json","research/evaluation/results/130620__qwen_qwen3-vl-8b__dark_mode_off__r0.json"
"self-hosted","qwen/qwen3-vl-8b","dark_mode_off","1","130829","available","research/evaluation/model-trial-screenshots/self-hosted/130829__qwen_qwen3-vl-8b__dark_mode_off__r1.png","f1759af98c95a032ef987d2149910278ec1887cc0e7e7c54501b0697d8ecfb5b","","research/evaluation/results/130829__qwen_qwen3-vl-8b__dark_mode_off__r1.json"
"self-hosted","qwen/qwen3-vl-8b","dark_mode_on","0","130033","available","research/evaluation/model-trial-screenshots/self-hosted/130033__qwen_qwen3-vl-8b__dark_mode_on__r0.png","32a0557c2b4f0544039532570696c4b4509c74933c5d91977beb3797618d3519","","research/evaluation/results/130033__qwen_qwen3-vl-8b__dark_mode_on__r0.json"
"self-hosted","qwen/qwen3-vl-8b","dark_mode_on","1","130205","available","research/evaluation/model-trial-screenshots/self-hosted/130205__qwen_qwen3-vl-8b__dark_mode_on__r1.png","d84bfeb27f2c8eb22587f486e81a0fc05bb69ac323781276ffb1507795a48ecf","","research/evaluation/results/130205__qwen_qwen3-vl-8b__dark_mode_on__r1.json"
"self-hosted","qwen/qwen3-vl-8b","pizza_search","0","132358","available","research/evaluation/model-trial-screenshots/self-hosted/132358__qwen_qwen3-vl-8b__pizza_search__r0.png","c6e9d0cdebb394085d5af11aa3395898cbf950fb896e8f22ec42efe2ffbedd7f","","research/evaluation/results/132358__qwen_qwen3-vl-8b__pizza_search__r0.json"
